"ward_id","category","budget","year","ward"
3,"D",73771.2816242129,2022,"Etobicoke-Lakeshore"
20,"A",99284.9999805912,2022,"Scarborough Southwest"
11,"C",98836.3870908506,2022,"University-Rosedale"
10,"D",22945.5312923528,2022,"Spadina-Fort York"
15,"C",24757.277504541,2024,"Don Valley West"
11,"C",41138.1268664263,2021,"University-Rosedale"
2,"A",41857.659232337,2024,"Etobicoke Centre"
22,"A",33841.965245083,2024,"Scarborough-Agincourt"
8,"C",63054.8707093112,2022,"Eglinton-Lawrence"
3,"D",16151.9005778246,2021,"Etobicoke-Lakeshore"
20,"C",31139.8958554491,2023,"Scarborough Southwest"
24,"D",62827.0194213837,2022,"Scarborough-Guildwood"
9,"D",94223.6139229499,2023,"Davenport"
1,"D",77583.6744438857,2023,"Etobicoke North"
10,"D",27348.5756432638,2021,"Spadina-Fort York"
24,"B",67999.379131943,2023,"Scarborough-Guildwood"
1,"C",62448.3727291226,2024,"Etobicoke North"
24,"C",62639.246978797,2021,"Scarborough-Guildwood"
10,"B",26147.6766760461,2023,"Spadina-Fort York"
6,"D",96950.1582393423,2023,"York Centre"
5,"A",30031.6010555252,2021,"York South-Weston"
14,"B",91862.6585719176,2021,"Toronto-Danforth"
23,"D",23172.9216175154,2024,"Scarborough North"
17,"D",84908.113903366,2024,"Don Valley North"
4,"C",45702.67515257,2022,"Parkdale-High Park"
14,"D",80799.4759804569,2021,"Toronto-Danforth"
6,"A",80933.9558635838,2023,"York Centre"
14,"A",97501.5275622718,2024,"Toronto-Danforth"
17,"A",24630.9278160334,2022,"Don Valley North"
22,"C",38844.8030175641,2022,"Scarborough-Agincourt"
7,"C",93639.8286162876,2023,"Humber River-Black Creek"
2,"D",21471.4508666657,2023,"Etobicoke Centre"
22,"B",83277.8648333624,2022,"Scarborough-Agincourt"
6,"A",79052.057962399,2024,"York Centre"
12,"A",29865.9289884381,2021,"Toronto-St. Paul's"
9,"D",36754.8093036748,2024,"Davenport"
10,"A",61902.3759337142,2021,"Spadina-Fort York"
22,"A",55612.1107959189,2023,"Scarborough-Agincourt"
23,"D",12741.4761530235,2021,"Scarborough North"
23,"C",46877.0660785958,2023,"Scarborough North"
18,"C",32539.8945691995,2021,"Willowdale"
25,"B",98883.3610992879,2022,"Scarborough-Rouge Park"
7,"D",21239.753542468,2024,"Humber River-Black Creek"
18,"C",41436.409924645,2024,"Willowdale"
7,"A",29333.4363820031,2024,"Humber River-Black Creek"
13,"A",35612.1639977209,2023,"Toronto Centre"
7,"A",69280.9008387849,2021,"Humber River-Black Creek"
6,"B",89771.6620680876,2023,"York Centre"
19,"C",86473.7238525413,2021,"Beaches-East York"
23,"B",35161.1431548372,2024,"Scarborough North"
14,"C",25759.2463330366,2021,"Toronto-Danforth"
3,"D",49841.4791678078,2022,"Etobicoke-Lakeshore"
23,"D",86184.5260229893,2021,"Scarborough North"
6,"A",44570.9223393351,2023,"York Centre"
19,"A",67305.6831862777,2024,"Beaches-East York"
10,"C",37001.2200530618,2024,"Spadina-Fort York"
12,"A",40200.8844353259,2022,"Toronto-St. Paul's"
19,"B",75975.5167807452,2023,"Beaches-East York"
10,"A",22399.24662048,2021,"Spadina-Fort York"
2,"D",44122.4357439205,2023,"Etobicoke Centre"
9,"B",94227.1289369091,2023,"Davenport"
3,"A",68144.4514985196,2024,"Etobicoke-Lakeshore"
25,"C",37855.6250152178,2022,"Scarborough-Rouge Park"
15,"D",65200.4101639614,2024,"Don Valley West"
16,"C",32779.7511103563,2024,"Don Valley East"
19,"B",39401.9759702496,2022,"Beaches-East York"
13,"A",79345.7338865846,2022,"Toronto Centre"
20,"D",32557.8996934928,2022,"Scarborough Southwest"
15,"A",80372.7612528019,2023,"Don Valley West"
1,"C",84662.1139300987,2024,"Etobicoke North"
24,"B",11292.0793215744,2023,"Scarborough-Guildwood"
9,"B",38376.1115721427,2021,"Davenport"
13,"C",22913.6231052689,2022,"Toronto Centre"
7,"B",99866.8663343415,2023,"Humber River-Black Creek"
6,"C",78636.8467472494,2021,"York Centre"
16,"C",62097.8395058773,2023,"Don Valley East"
1,"A",15680.7114509866,2024,"Etobicoke North"
7,"B",43986.0013895668,2021,"Humber River-Black Creek"
17,"C",20569.9648172595,2023,"Don Valley North"
20,"B",64343.2656605728,2024,"Scarborough Southwest"
19,"D",48921.5091359802,2023,"Beaches-East York"
7,"B",15445.7650706172,2023,"Humber River-Black Creek"
24,"C",73177.5177456439,2021,"Scarborough-Guildwood"
13,"C",77693.9368294552,2021,"Toronto Centre"
4,"B",44591.7832828127,2021,"Parkdale-High Park"
5,"B",58979.3403819203,2023,"York South-Weston"
4,"B",24285.335871391,2023,"Parkdale-High Park"
15,"D",31838.2279365323,2021,"Don Valley West"
4,"C",46859.7318837419,2021,"Parkdale-High Park"
24,"D",82330.5033496581,2022,"Scarborough-Guildwood"
2,"B",63278.8136624731,2022,"Etobicoke Centre"
5,"B",15043.9992453903,2022,"York South-Weston"
22,"C",87763.3966249414,2023,"Scarborough-Agincourt"
20,"B",36087.369711604,2022,"Scarborough Southwest"
17,"D",35980.3115599789,2022,"Don Valley North"
7,"C",14303.7127843127,2021,"Humber River-Black Creek"
11,"C",39617.3462690786,2021,"University-Rosedale"
16,"A",11748.603512533,2022,"Don Valley East"
17,"A",88223.9424320869,2021,"Don Valley North"
12,"C",44437.0085280389,2023,"Toronto-St. Paul's"
